species,Order,Family,source,specimens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Aceria lini,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria linosyrina,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria liszkai,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria loewi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria loiseleuriae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria longirostris,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria longiseta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria lophophyes,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria lycopersici,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria macrochela,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria macrocheluserinea,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria macrorhyncha,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria macrotuberculata,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria maculifer,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria malherbae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=492751 ,
Aceria malvacearum,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria mangiferae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria marginemvolvens,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria marshalli,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
