species,Order,Family,source,speciemens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Albanotrechus beroni,Coleoptera,Carabidae,FE,,,,,gap,
Allegrettia boldorii,Coleoptera,Carabidae,FE,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=681342 
Allegrettia pavani,Coleoptera,Carabidae,FE,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=681354 
Allegrettia tacoensis,Coleoptera,Carabidae,FE,,,,,gap,
Allegrettia zavattarii,Coleoptera,Carabidae,FE,,,,,gap,
Alpiodytes penninus,Coleoptera,Carabidae,FE,,,,FE,gap,
Alpiodytes ravizzai,Coleoptera,Carabidae,FE,,,,,gap,
Amara abdominalis,Coleoptera,Carabidae,FE,,,,,gap,
Amara aberrans,Coleoptera,Carabidae,FE,,,,,gap,
Amara aenea,Coleoptera,Carabidae,BOLD:FE:iNat,112,132,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=307005 
Amara affinis,Coleoptera,Carabidae,FE,,,,,gap,
Amara albarracina,Coleoptera,Carabidae,FE,,,,,gap,
Amara alpestris,Coleoptera,Carabidae,FE,,,,FE,gap,
Amara alpina,Coleoptera,Carabidae,BOLD:FE,127,149,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=90100 
Amara ambulans,Coleoptera,Carabidae,FE,,,,,gap,
Amara anthobia,Coleoptera,Carabidae,BOLD:FE:iNat,4,4,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=317899 
Amara apricaria,Coleoptera,Carabidae,BOLD:FE,37,46,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=330153 
Amara arcuata,Coleoptera,Carabidae,FE,,,,FE,gap,
Amara arenaria,Coleoptera,Carabidae,FE,,,,,gap,
Amara armeniaca,Coleoptera,Carabidae,FE,,,,,gap,
Amara aulica,Coleoptera,Carabidae,BOLD:FE:iNat,33,50,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=330150 
Amara aurichalcea,Coleoptera,Carabidae,FE,,,,,gap,
Amara bamidunyae,Coleoptera,Carabidae,FE,,,,,gap,
